127.0.0.1 - - [27/Sep/2018:21:24:03 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:24:08 -0300] "GET /JavaWeb/Aulas%2001%20a%2004/ChamarClasse.jsp HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:33:22 -0300] "GET /JavaWeb/Formulario.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:33:26 -0300] "GET /JavaWeb/Dados.jsp?pais=Brasil HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:37:00 -0300] "GET /JavaWeb/Formulario.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:37:06 -0300] "GET /JavaWeb/Dados.jsp?pais=R%FAssia HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:39:16 -0300] "GET /JavaWeb/Formulario.jsp HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:39:30 -0300] "GET /JavaWeb/Dados.jsp?pais=Brasil&sexo=Masculino HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:50:18 -0300] "GET /JavaWeb/Formulario.jsp HTTP/1.1" 200 850
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:50:31 -0300] "GET /JavaWeb/Dados.jsp?pais=Brasil&sexo=Masculino&linguas=Portugues&linguas=Ingl%EAs HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:52:33 -0300] "GET /JavaWeb/Formulario.jsp HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:52:40 -0300] "GET /JavaWeb/Dados.jsp?pais=EUA&sexo=Masculino&linguas=Portugu%EAs&linguas=Ingl%EAs HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:53:32 -0300] "GET /JavaWeb/Formulario.jsp HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:53:36 -0300] "GET /JavaWeb/Dados.jsp?pais=Brasil&sexo=Masculino&linguas=Portugu%EAs&linguas=Ingl%EAs HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:54:21 -0300] "GET /JavaWeb/Formulario.jsp HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:54:23 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:54:28 -0300] "GET /JavaWeb/Dados.jsp?pais=Brasil&sexo=Masculino&linguas=Portugu%EAs&linguas=Ingl%EAs HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:54:47 -0300] "GET /JavaWeb/Dados.jsp?pais=Brasil&sexo=Masculino&linguas=Portugu%EAs&linguas=Ingl%EAs HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:54:52 -0300] "GET /JavaWeb/Formulario.jsp HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:54:56 -0300] "GET /JavaWeb/Dados.jsp?pais=Brasil&sexo=Masculino&linguas=Portugu%EAs&linguas=Ingl%EAs HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:55:10 -0300] "GET /JavaWeb/Formulario.jsp HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:55:14 -0300] "GET /JavaWeb/Dados.jsp?pais=Brasil&sexo=Masculino&linguas=Portugu%EAs&linguas=Ingl%EAs HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:55:38 -0300] "GET /JavaWeb/Formulario.jsp HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:55:45 -0300] "GET /JavaWeb/Dados.jsp?pais=Brasil&sexo=Masculino&linguas=Portugu%EAs&linguas=Ingl%EAs HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:59:53 -0300] "GET /JavaWeb/Formulario.jsp HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [27/Sep/2018:21:59:57 -0300] "GET /JavaWeb/Dados.jsp?pais=Brasil&sexo=Masculino&linguas=Portugu%C3%AAs&linguas=Ingl%C3%AAs HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [27/Sep/2018:22:01:26 -0300] "GET /JavaWeb/Formulario.jsp HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [27/Sep/2018:22:01:30 -0300] "GET /JavaWeb/Dados.jsp?pais=Brasil&sexo=Masculino&linguas=Portugu%C3%AAs HTTP/1.1" 200 206
